Fitting method: Bayesian, ADVI
Solver: Symbolic

[Fixed Variables]

[Fit Variables]
          mean      sd   hdi_3%  hdi_97%   median     mode
R1a     0.2838  0.0390   0.2114   0.3563   0.2825   0.2751
R1b     4.0408  1.4287   1.3992   6.5780   3.9307   3.7893
R2a     0.6291  0.0762   0.4936   0.7772   0.6261   0.6148
R2b    79.3713  8.5830  63.0621  93.2969  80.5472  83.9026
dwa    -0.0053  0.0039  -0.0127   0.0017  -0.0054  -0.0053
dwb     3.5023  0.0104   3.4823   3.5216   3.5023   3.5025
fb      0.0065  0.0007   0.0052   0.0077   0.0066   0.0066
kb     27.8413  4.1467  20.2465  35.6350  27.6309  27.3054
sigma   0.0195  0.0011   0.0174   0.0215   0.0195   0.0197
