Fitting method: Bayesian, ADVI
Solver: Symbolic

[Fixed Variables]

[Fit Variables]
             mean         sd      hdi_3%     hdi_97%      median        mode
R1a        5.1489     0.2926      4.5913      5.6894      5.1430      5.1006
R1b        4.8825     1.6345      2.0301      7.9703      4.8579      4.7965
R2a      377.2594    13.3728    353.5836    396.0337    380.3229    385.5031
R2b    25144.7660  4080.3514  17764.5972  32754.9774  24874.7973  23723.5382
dwa       -1.9082     0.3865     -2.6262     -1.1850     -1.9087     -1.8778
dwb     -246.4604     4.8149   -255.5501   -237.6516   -246.4070   -246.3082
fb         0.0139     0.0024      0.0094      0.0185      0.0137      0.0130
kb       109.0252    22.3620     69.0772    149.7066    107.3141     99.1882
sigma      0.0268     0.0014      0.0239      0.0293      0.0268      0.0270
